code,country,hdi,gini,continent,pop,religion
GNB,Guinea-Bissau,0.424,39.1,Africa,1477784,Animismo
GAB,Gabon,0.697,23.8,Africa,1402214,Cristianismo
EST,Estonia,0.865,8.6,Europe,1339974,Sin religion
TRI,Trinidad and Tobago,0.78,15.1,Americas,1305000,Cristianismo
MAS,Mauritius,0.781,14.3,Africa,1280511,Hinduismo
SWA,Swaziland,0.541,33.1,Africa,1220594,Cristianismo
DJI,Djibouti,0.473,33.7,Africa,882943,Islamismo
FIJ,Fiji,0.736,15.1,Oceania,859318,Cristianismo
CYP,Cyprus,0.856,10.8,Europe,813958,Cristianismo
GUY,Guyana,0.638,18.5,Americas,767501,Cristianismo
BHU,Bhutan,0.607,28.4,Asia,694754,Budismo
COM,Comoros,0.498,44.8,Africa,679961,Islamismo
MNG,Montenegro,0.807,8.7,Europe,629517,Cristianismo
SUR,Suriname,0.725,23.3,Americas,566000,Cristianismo
SOL,Solomon Islands,0.515,23.8,Oceania,536533,Cristianismo
LUX,Luxembourg,0.898,7.8,Europe,505838,Cristianismo
MLT,Malta,0.856,8,Europe,412911,Cristianismo
MAD,Maldives,0.701,23.4,Asia,317405,Islamismo
ICE,Iceland,0.921,5.7,Europe,316821,Cristianismo
BHM,Bahamas,0.792,14,Americas,313312,Cristianismo
BLZ,Belize,0.706,21.8,Americas,304106,Cristianismo
VAN,Vanuatu,0.597,17.2,Oceania,241400,Cristianismo
FSM,Micronesia,0.638,34.9,Oceania,110971,Cristianismo
KIR,Kiribati,0.588,32,Oceania,103000,Cristianismo
DMA,Dominica,0.726,21.6,Americas,73000,Cristianismo
